id,product_id,product_name,variant_code,primary_color,secondary_color,size,type,style,age,gender
1238,PG205,Academy Gi Adults Forest Green,PG205-F3,#00FF00,#FFFFFF,F3,gi,gi,adult,womens
1237,PG205,Academy Gi Adults Forest Green,PG205-F2,#00FF00,#FFFFFF,F2,gi,gi,adult,womens
1236,PG205,Academy Gi Adults Forest Green,PG205-F1,#00FF00,#FFFFFF,F1,gi,gi,adult,womens
1235,PG205,Academy Gi Adults Forest Green,PG205-A3,#00FF00,#FFFFFF,A3,gi,gi,adult,mens
1234,PG205,Academy Gi Adults Forest Green,PG205-A2L,#00FF00,#FFFFFF,A2L,gi,gi,adult,mens
1233,PG205,Academy Gi Adults Forest Green,PG205-A2,#00FF00,#FFFFFF,A2,gi,gi,adult,mens
1232,PG205,Academy Gi Adults Forest Green,PG205-A1L,#00FF00,#FFFFFF,A1L,gi,gi,adult,mens
1231,PG205,Academy Gi Adults Forest Green,PG205-A1,#00FF00,#FFFFFF,A1,gi,gi,adult,mens
1230,PG205,Academy Gi Adults Forest Green,PG205-A0,#00FF00,#FFFFFF,A0,gi,gi,adult,mens
1227,PG204,Womens Seamless Navy Leggings,PG204-S,#0000FF,#FFFFFF,S,dk,ng,adult,womens
1228,PG204,Womens Seamless Navy Leggings,PG204-M,#0000FF,#FFFFFF,M,dk,ng,adult,womens
1229,PG204,Womens Seamless Navy Leggings,PG204-L,#0000FF,#FFFFFF,L,dk,ng,adult,womens
1224,PG203,Womens Seamless Navy Shorts,PG203-S,#0000FF,#FFFFFF,S,dk,ng,adult,womens
1225,PG203,Womens Seamless Navy Shorts,PG203-M,#0000FF,#FFFFFF,M,dk,ng,adult,womens
1226,PG203,Womens Seamless Navy Shorts,PG203-L,#0000FF,#FFFFFF,L,dk,ng,adult,womens
1221,PG202,Womens Seamless Navy Bra,PG202-S,#0000FF,#FFFFFF,S,dk,ng,adult,womens
1222,PG202,Womens Seamless Navy Bra,PG202-M,#0000FF,#FFFFFF,M,dk,ng,adult,womens
1223,PG202,Womens Seamless Navy Bra,PG202-L,#0000FF,#FFFFFF,L,dk,ng,adult,womens
1216,PG201,Smoked Ink Spats,PG201-XS,#808080,#FFFFFF,XS,ck,ng,adult,
1220,PG201,Smoked Ink Spats,PG201-XL,#808080,#FFFFFF,XL,ck,ng,adult,male
1217,PG201,Smoked Ink Spats,PG201-S,#808080,#FFFFFF,S,ck,ng,adult,mens
1218,PG201,Smoked Ink Spats,PG201-M,#808080,#FFFFFF,M,ck,ng,adult,mens
1219,PG201,Smoked Ink Spats,PG201-L,#808080,#FFFFFF,L,ck,ng,adult,mens
1211,PG200,Smoked Ink Shorts,PG200-XS,#808080,#FFFFFF,XS,dk,ng,adult,mens
1215,PG200,Smoked Ink Shorts,PG200-XL,#808080,#FFFFFF,XL,dk,ng,adult,mens
1212,PG200,Smoked Ink Shorts,PG200-S,#808080,#FFFFFF,S,dk,ng,adult,mens
1213,PG200,Smoked Ink Shorts,PG200-M,#808080,#FFFFFF,M,dk,ng,adult,mens
1214,PG200,Smoked Ink Shorts,PG200-L,#808080,#FFFFFF,L,dk,ng,adult,mens
1206,PG199,Smoked Ink Rashguard,PG199-XS,#808080,#FFFFFF,XS,rg,ng,adult,mens
1210,PG199,Smoked Ink Rashguard,PG199-XL,#808080,#FFFFFF,XL,rg,ng,adult,mens
1207,PG199,Smoked Ink Rashguard,PG199-S,#808080,#FFFFFF,S,rg,ng,adult,mens
1208,PG199,Smoked Ink Rashguard,PG199-M,#808080,#FFFFFF,M,rg,ng,adult,mens
1209,PG199,Smoked Ink Rashguard,PG199-L,#808080,#FFFFFF,L,rg,ng,adult,mens
1202,PG198,Swim Shorts Black,PG198-XS,#000000,#FFFFFF,XS,dk,ap,adult,mens
1203,PG198,Swim Shorts Black,PG198-S,#000000,#FFFFFF,S,dk,ap,adult,mens
1204,PG198,Swim Shorts Black,PG198-M,#000000,#FFFFFF,M,dk,ap,adult,mens
1205,PG198,Swim Shorts Black,PG198-L,#000000,#FFFFFF,L,dk,ap,adult,mens
1198,PG197,Swim Shorts Green,PG197-XS,#000000,#FFFFFF,XS,dk,ap,adult,mens
1199,PG197,Swim Shorts Green,PG197-S,#000000,#FFFFFF,S,dk,ap,adult,mens
1200,PG197,Swim Shorts Green,PG197-M,#000000,#FFFFFF,M,dk,ap,adult,mens
1201,PG197,Swim Shorts Green,PG197-L,#000000,#FFFFFF,L,dk,ap,adult,mens
1193,PG196,Creonte Rashguard,PG196-XS,#000000,#FFFFFF,XS,rg,ng,adult,mens
1197,PG196,Creonte Rashguard,PG196-XL,#000000,#FFFFFF,XL,rg,ng,adult,mens
1194,PG196,Creonte Rashguard,PG196-S,#000000,#FFFFFF,S,rg,ng,adult,mens
1195,PG196,Creonte Rashguard,PG196-M,#000000,#FFFFFF,M,rg,ng,adult,mens
1196,PG196,Creonte Rashguard,PG196-L,#000000,#FFFFFF,L,rg,ng,adult,mens
1188,PG195,Calavera Shorts Adult Green,PG195-XS,#00FF00,#FFFFFF,XS,dk,ng,adult,mens
1192,PG195,Calavera Shorts Adult Green,PG195-XL,#00FF00,#FFFFFF,XL,dk,ng,adult,mens
1189,PG195,Calavera Shorts Adult Green,PG195-S,#00FF00,#FFFFFF,S,dk,ng,adult,mens
1190,PG195,Calavera Shorts Adult Green,PG195-M,#00FF00,#FFFFFF,M,dk,ng,adult,mens
1191,PG195,Calavera Shorts Adult Green,PG195-L,#00FF00,#FFFFFF,L,dk,ng,adult,mens
1183,PG194,Calavera Rashguard Adults Green,PG194-XS,#00FF00,#FFFFFF,XS,rg,ng,adult,mens
1187,PG194,Calavera Rashguard Adults Green,PG194-XL,#00FF00,#FFFFFF,XL,rg,ng,adult,mens
1184,PG194,Calavera Rashguard Adults Green,PG194-S,#00FF00,#FFFFFF,S,rg,ng,adult,mens
1185,PG194,Calavera Rashguard Adults Green,PG194-M,#00FF00,#FFFFFF,M,rg,ng,adult,mens
1186,PG194,Calavera Rashguard Adults Green,PG194-L,#00FF00,#FFFFFF,L,rg,ng,adult,mens
1182,PG193,Calavera Gi Adults Green,PG193-F3,#00FF00,#FFFFFF,F3,gi,gi,adult,womens
1181,PG193,Calavera Gi Adults Green,PG193-F2,#00FF00,#FFFFFF,F2,gi,gi,adult,womens
1180,PG193,Calavera Gi Adults Green,PG193-F1,#00FF00,#FFFFFF,F1,gi,gi,adult,womens
1179,PG193,Calavera Gi Adults Green,PG193-A3,#00FF00,#FFFFFF,A3,gi,gi,adult,mens
1178,PG193,Calavera Gi Adults Green,PG193-A2L,#00FF00,#FFFFFF,A2L,gi,gi,adult,mens
1177,PG193,Calavera Gi Adults Green,PG193-A2,#00FF00,#FFFFFF,A2,gi,gi,adult,mens
1176,PG193,Calavera Gi Adults Green,PG193-A1L,#00FF00,#FFFFFF,A1L,gi,gi,adult,mens
1175,PG193,Calavera Gi Adults Green,PG193-A1,#00FF00,#FFFFFF,A1,gi,gi,adult,mens
1174,PG193,Calavera Gi Adults Green,PG193-A0,#00FF00,#FFFFFF,A0,gi,gi,adult,mens
1173,PG192,Academy Gi Kids Navy,PG192-M4,#FFFFFF,#FFFFFF,M4,gi,gi,kids,mens
1172,PG192,Academy Gi Kids Navy,PG192-M3,#FFFFFF,#FFFFFF,M3,gi,gi,kids,mens
1171,PG192,Academy Gi Kids Navy,PG192-M2,#FFFFFF,#FFFFFF,M2,gi,gi,kids,mens
1170,PG192,Academy Gi Kids Navy,PG192-M1,#FFFFFF,#FFFFFF,M1,gi,gi,kids,mens
1169,PG192,Academy Gi Kids Navy,PG192-M000,#FFFFFF,#FFFFFF,M000,gi,gi,kids,mens
1168,PG192,Academy Gi Kids Navy,PG192-M00,#FFFFFF,#FFFFFF,M00,gi,gi,kids,mens
1167,PG192,Academy Gi Kids Navy,PG192-M0,#FFFFFF,#FFFFFF,M0,gi,gi,kids,mens
1166,PG191,Academy Gi Kids Grey,PG191-M4,#808080,#FFFFFF,M4,gi,gi,kids,mens
1165,PG191,Academy Gi Kids Grey,PG191-M3,#808080,#FFFFFF,M3,gi,gi,kids,mens
1164,PG191,Academy Gi Kids Grey,PG191-M2,#808080,#FFFFFF,M2,gi,gi,kids,mens
1163,PG191,Academy Gi Kids Grey,PG191-M1,#808080,#FFFFFF,M1,gi,gi,kids,mens
1162,PG191,Academy Gi Kids Grey,PG191-M000,#808080,#FFFFFF,M000,gi,gi,kids,mens
1161,PG191,Academy Gi Kids Grey,PG191-M00,#808080,#FFFFFF,M00,gi,gi,kids,mens
1160,PG191,Academy Gi Kids Grey,PG191-M0,#808080,#FFFFFF,M0,gi,gi,kids,mens
1159,PG190,Academy Gi Adults Navy,PG190-F3,#FFFFFF,#FFFFFF,F3,gi,gi,adult,womens
1158,PG190,Academy Gi Adults Navy,PG190-F2,#FFFFFF,#FFFFFF,F2,gi,gi,adult,womens
1157,PG190,Academy Gi Adults Navy,PG190-F1,#FFFFFF,#FFFFFF,F1,gi,gi,adult,womens
1156,PG190,Academy Gi Adults Navy,PG190-A4,#FFFFFF,#FFFFFF,A4,gi,gi,adult,mens
1155,PG190,Academy Gi Adults Navy,PG190-A3,#FFFFFF,#FFFFFF,A3,gi,gi,adult,mens
1154,PG190,Academy Gi Adults Navy,PG190-A2L,#FFFFFF,#FFFFFF,A2L,gi,gi,adult,mens
1153,PG190,Academy Gi Adults Navy,PG190-A2,#FFFFFF,#FFFFFF,A2,gi,gi,adult,mens
1152,PG190,Academy Gi Adults Navy,PG190-A1L,#FFFFFF,#FFFFFF,A1L,gi,gi,adult,mens
1151,PG190,Academy Gi Adults Navy,PG190-A1,#FFFFFF,#FFFFFF,A1,gi,gi,adult,mens
1150,PG190,Academy Gi Adults Navy,PG190-A0,#FFFFFF,#FFFFFF,A0,gi,gi,adult,mens
1149,PG189,Academy Gi Adults Grey,PG189-F3,#808080,#FFFFFF,F3,gi,gi,adult,womens
1148,PG189,Academy Gi Adults Grey,PG189-F2,#808080,#FFFFFF,F2,gi,gi,adult,womens
1147,PG189,Academy Gi Adults Grey,PG189-F1,#808080,#FFFFFF,F1,gi,gi,adult,womens
1146,PG189,Academy Gi Adults Grey,PG189-A4,#808080,#FFFFFF,A4,gi,gi,adult,mens
1145,PG189,Academy Gi Adults Grey,PG189-A3,#808080,#FFFFFF,A3,gi,gi,adult,mens
1144,PG189,Academy Gi Adults Grey,PG189-A2L,#808080,#FFFFFF,A2L,gi,gi,adult,mens
1143,PG189,Academy Gi Adults Grey,PG189-A2,#808080,#FFFFFF,A2,gi,gi,adult,mens
1142,PG189,Academy Gi Adults Grey,PG189-A1L,#808080,#FFFFFF,A1L,gi,gi,adult,mens
1141,PG189,Academy Gi Adults Grey,PG189-A1,#808080,#FFFFFF,A1,gi,gi,adult,mens
1140,PG189,Academy Gi Adults Grey,PG189-A0,#808080,#FFFFFF,A0,gi,gi,adult,mens
1131,PG188,Classico Rashguard Burnt Orange,PG188-XS,#FFFFFF,#FFFFFF,XS,rg,ng,adult,male
1135,PG188,Classico Rashguard Burnt Orange,PG188-XL,#FFFFFF,#FFFFFF,XL,rg,ng,adult,mens
1132,PG188,Classico Rashguard Burnt Orange,PG188-S,#FFFFFF,#FFFFFF,S,rg,ng,adult,mens
1133,PG188,Classico Rashguard Burnt Orange,PG188-M,#FFFFFF,#FFFFFF,M,rg,ng,adult,mens
1134,PG188,Classico Rashguard Burnt Orange,PG188-L,#FFFFFF,#FFFFFF,L,rg,ng,adult,mens
1127,PG187,Forest Green Shorts Womens,PG187-XS,#00FF00,#FFFFFF,XS,dk,ng,adult,womens
1128,PG187,Forest Green Shorts Womens,PG187-S,#00FF00,#FFFFFF,S,dk,ng,adult,womens
1129,PG187,Forest Green Shorts Womens,PG187-M,#00FF00,#FFFFFF,M,dk,ng,adult,womens
1130,PG187,Forest Green Shorts Womens,PG187-L,#00FF00,#FFFFFF,L,dk,ng,adult,womens
1123,PG186,Forest Green Rashguard Womens,PG186-XS,#00FF00,#FFFFFF,XS,rg,ng,adult,womens
1124,PG186,Forest Green Rashguard Womens,PG186-S,#00FF00,#FFFFFF,S,rg,ng,adult,womens
1125,PG186,Forest Green Rashguard Womens,PG186-M,#00FF00,#FFFFFF,M,rg,ng,adult,womens
1126,PG186,Forest Green Rashguard Womens,PG186-L,#00FF00,#FFFFFF,L,rg,ng,adult,womens
1119,PG185,Peach Shorts Womens,PG185-XS,#FFFFFF,#00FF00,XS,dk,ng,adult,womens
1120,PG185,Peach Shorts Womens,PG185-S,#FFFFFF,#00FF00,S,dk,ng,adult,womens
1121,PG185,Peach Shorts Womens,PG185-M,#FFFFFF,#00FF00,M,dk,ng,adult,womens
1122,PG185,Peach Shorts Womens,PG185-L,#FFFFFF,#00FF00,L,dk,ng,adult,womens
1115,PG184,Peach Rashguard Womens,PG184-XS,#FFFFFF,#00FF00,XS,rg,ng,adult,womens
1116,PG184,Peach Rashguard Womens,PG184-S,#FFFFFF,#00FF00,S,rg,ng,adult,womens
1117,PG184,Peach Rashguard Womens,PG184-M,#FFFFFF,#00FF00,M,rg,ng,adult,womens
1118,PG184,Peach Rashguard Womens,PG184-L,#FFFFFF,#00FF00,L,rg,ng,adult,womens
1110,PG183,Forest Green Shorts,PG183-XS,#00FF00,#FFFFFF,XS,dk,ng,adult,mens
1114,PG183,Forest Green Shorts,PG183-XL,#00FF00,#FFFFFF,XL,dk,ng,adult,mens
1111,PG183,Forest Green Shorts,PG183-S,#00FF00,#FFFFFF,S,dk,ng,adult,mens
1112,PG183,Forest Green Shorts,PG183-M,#00FF00,#FFFFFF,M,dk,ng,adult,mens
1113,PG183,Forest Green Shorts,PG183-L,#00FF00,#FFFFFF,L,dk,ng,adult,mens
1105,PG182,Forest Green Rashguard,PG182-XS,#00FF00,#FFFFFF,XS,rg,ng,adult,mens
1109,PG182,Forest Green Rashguard,PG182-XL,#00FF00,#FFFFFF,XL,rg,ng,adult,mens
1106,PG182,Forest Green Rashguard,PG182-S,#00FF00,#FFFFFF,S,rg,ng,adult,mens
1107,PG182,Forest Green Rashguard,PG182-M,#00FF00,#FFFFFF,M,rg,ng,adult,mens
1108,PG182,Forest Green Rashguard,PG182-L,#00FF00,#FFFFFF,L,rg,ng,adult,mens
1100,PG181,Peach Shorts,PG181-XS,#FFFFFF,#00FF00,XS,dk,ng,adult,mens
1104,PG181,Peach Shorts,PG181-XL,#FFFFFF,#00FF00,XL,dk,ng,adult,mens
1101,PG181,Peach Shorts,PG181-S,#FFFFFF,#00FF00,S,dk,ng,adult,mens
1102,PG181,Peach Shorts,PG181-M,#FFFFFF,#00FF00,M,dk,ng,adult,mens
1103,PG181,Peach Shorts,PG181-L,#FFFFFF,#00FF00,L,dk,ng,adult,mens
1095,PG180,Peach Rashguard,PG180-XS,#FFFFFF,#00FF00,XS,rg,ng,adult,mens
1099,PG180,Peach Rashguard,PG180-XL,#FFFFFF,#00FF00,XL,rg,ng,adult,mens
1096,PG180,Peach Rashguard,PG180-S,#FFFFFF,#00FF00,S,rg,ng,adult,mens
1097,PG180,Peach Rashguard,PG180-M,#FFFFFF,#00FF00,M,rg,ng,adult,mens
1098,PG180,Peach Rashguard,PG180-L,#FFFFFF,#00FF00,L,rg,ng,adult,mens
1091,PG179,Psychedelic Hoodie,PG179-XS,#000000,#000000,XS,ho,ap,adult,mens
1092,PG179,Psychedelic Hoodie,PG179-S,#000000,#000000,S,ho,ap,adult,mens
1093,PG179,Psychedelic Hoodie,PG179-M,#000000,#000000,M,ho,ap,adult,mens
1094,PG179,Psychedelic Hoodie,PG179-L,#000000,#000000,L,ho,ap,adult,mens
1087,PG178,Psychedelic Tee Black,PG178-XS,#000000,#000000,XS,te,ap,adult,mens
1088,PG178,Psychedelic Tee Black,PG178-S,#000000,#000000,S,te,ap,adult,mens
1089,PG178,Psychedelic Tee Black,PG178-M,#000000,#000000,M,te,ap,adult,mens
1090,PG178,Psychedelic Tee Black,PG178-L,#000000,#000000,L,te,ap,adult,mens
1083,PG177,Psychedelic Tee White,PG177-XS,#FFFFFF,#FFFFFF,XS,te,ap,adult,mens
1084,PG177,Psychedelic Tee White,PG177-S,#FFFFFF,#FFFFFF,S,te,ap,adult,mens
1085,PG177,Psychedelic Tee White,PG177-M,#FFFFFF,#FFFFFF,M,te,ap,adult,mens
1086,PG177,Psychedelic Tee White,PG177-L,#FFFFFF,#FFFFFF,L,te,ap,adult,mens
1079,PG176,Ranked 2025,PG176-XS-ZONG,#FFFFFF,#FFFFFF,XS,rg,ng,adult,mens
1075,PG176,Ranked 2025,PG176-XS-ZI,#800080,#800080,XS,rg,ng,adult,mens
1066,PG176,Ranked 2025,PG176-XS-LAN,#0000FF,#0000FF,XS,rg,ng,adult,mens
1071,PG176,Ranked 2025,PG176-XS-BAI,#FFFFFF,#000000,XS,rg,ng,adult,mens
1070,PG176,Ranked 2025,PG176-XL-LAN,#0000FF,#0000FF,XL,rg,ng,adult,mens
1080,PG176,Ranked 2025,PG176-S-ZONG,#FFFFFF,#FFFFFF,S,rg,ng,adult,mens
1076,PG176,Ranked 2025,PG176-S-ZI,#800080,#800080,S,rg,ng,adult,mens
1067,PG176,Ranked 2025,PG176-S-LAN,#0000FF,#0000FF,S,rg,ng,adult,mens
1072,PG176,Ranked 2025,PG176-S-BAI,#FFFFFF,#000000,S,rg,ng,adult,mens
1081,PG176,Ranked 2025,PG176-MS-ZONG,#FFFFFF,#FFFFFF,M,rg,ng,adult,mens
1077,PG176,Ranked 2025,PG176-MS-ZI,#800080,#800080,M,rg,ng,adult,mens
1068,PG176,Ranked 2025,PG176-MS-LAN,#0000FF,#0000FF,M,rg,ng,adult,mens
1073,PG176,Ranked 2025,PG176-MS-BAI,#FFFFFF,#000000,M,rg,ng,adult,mens
1082,PG176,Ranked 2025,PG176-L-ZONG,#FFFFFF,#FFFFFF,L,rg,ng,adult,mens
1078,PG176,Ranked 2025,PG176-L-ZI,#800080,#800080,L,rg,ng,adult,mens
1069,PG176,Ranked 2025,PG176-L-LAN,#0000FF,#0000FF,L,rg,ng,adult,mens
1074,PG176,Ranked 2025,PG176-L-BAI,#FFFFFF,#000000,L,rg,ng,adult,mens
1062,PG175,PRG Core Tech Pants,PG175-XS,#000000,#000000,XS,tr,ap,adult,mens
1063,PG175,PRG Core Tech Pants,PG175-S,#000000,#000000,S,tr,ap,adult,mens
1064,PG175,PRG Core Tech Pants,PG175-M,#000000,#000000,M,tr,ap,adult,mens
1065,PG175,PRG Core Tech Pants,PG175-L,#000000,#000000,L,tr,ap,adult,mens
1058,PG174,PRG Core Tech Shorts,PG174-XS,#000000,#000000,XS,dk,ap,adult,mens
1059,PG174,PRG Core Tech Shorts,PG174-S,#000000,#000000,S,dk,ap,adult,mens
1060,PG174,PRG Core Tech Shorts,PG174-M,#000000,#000000,M,dk,ap,adult,mens
1061,PG174,PRG Core Tech Shorts,PG174-L,#000000,#000000,L,dk,ap,adult,mens
1054,PG173,PRG Core Tech Tee,PG173-XS,#000000,#000000,XS,te,ap,adult,mens
1055,PG173,PRG Core Tech Tee,PG173-S,#000000,#000000,S,te,ap,adult,mens
1056,PG173,PRG Core Tech Tee,PG173-M,#000000,#000000,M,te,ap,adult,mens
1057,PG173,PRG Core Tech Tee,PG173-L,#000000,#000000,L,te,ap,adult,mens
923,PG172,Psychedelic RG Kids,PG172-XS,#FFFFFF,#FFFFFF,XS,dk,ng,kids,mens
927,PG172,Psychedelic RG Kids,PG172-XL,#FFFFFF,#FFFFFF,XL,dk,ng,kids,mens
924,PG172,Psychedelic RG Kids,PG172-S,#FFFFFF,#FFFFFF,S,dk,ng,kids,mens
925,PG172,Psychedelic RG Kids,PG172-M,#FFFFFF,#FFFFFF,M,dk,ng,kids,mens
926,PG172,Psychedelic RG Kids,PG172-L,#FFFFFF,#FFFFFF,L,dk,ng,kids,mens
918,PG171,Psychedelic RG Adult,PG171-XS,#FFFFFF,#FFFFFF,XS,rg,ng,adult,mens
922,PG171,Psychedelic RG Adult,PG171-XL,#FFFFFF,#FFFFFF,XL,rg,ng,adult,mens
919,PG171,Psychedelic RG Adult,PG171-S,#FFFFFF,#FFFFFF,S,rg,ng,adult,mens
920,PG171,Psychedelic RG Adult,PG171-M,#FFFFFF,#FFFFFF,M,rg,ng,adult,mens
921,PG171,Psychedelic RG Adult,PG171-L,#FFFFFF,#FFFFFF,L,rg,ng,adult,mens
913,PG170,Academy DK Navy,PG170-XS,#0000FF,#FFFFFF,XS,dk,ng,adult,mens
917,PG170,Academy DK Navy,PG170-XL,#0000FF,#FFFFFF,XL,dk,ng,adult,mens
914,PG170,Academy DK Navy,PG170-S,#0000FF,#FFFFFF,S,dk,ng,adult,mens
915,PG170,Academy DK Navy,PG170-M,#0000FF,#FFFFFF,M,dk,ng,adult,mens
916,PG170,Academy DK Navy,PG170-L,#0000FF,#FFFFFF,L,dk,ng,adult,mens
908,PG169,Academy RG L/S Navy,PG169-XS,#0000FF,#FFFFFF,XS,rg,ng,adult,mens
912,PG169,Academy RG L/S Navy,PG169-XL,#0000FF,#FFFFFF,XL,rg,ng,adult,mens
909,PG169,Academy RG L/S Navy,PG169-S,#0000FF,#FFFFFF,S,rg,ng,adult,mens
910,PG169,Academy RG L/S Navy,PG169-M,#0000FF,#FFFFFF,M,rg,ng,adult,mens
911,PG169,Academy RG L/S Navy,PG169-L,#0000FF,#FFFFFF,L,rg,ng,adult,mens
903,PG168,Academy RG S/S Navy,PG168-XS,#0000FF,#FFFFFF,XS,rg,ng,adult,mens
907,PG168,Academy RG S/S Navy,PG168-XL,#0000FF,#FFFFFF,XL,rg,ng,adult,mens
904,PG168,Academy RG S/S Navy,PG168-S,#0000FF,#FFFFFF,S,rg,ng,adult,mens
905,PG168,Academy RG S/S Navy,PG168-M,#0000FF,#FFFFFF,M,rg,ng,adult,mens
906,PG168,Academy RG S/S Navy,PG168-L,#0000FF,#FFFFFF,L,rg,ng,adult,mens
898,PG167,Sugar Skull 2.0 Kids RG,PG167-XS,#0000FF,#0000FF,XS,rg,ng,kids,mens
902,PG167,Sugar Skull 2.0 Kids RG,PG167-XL,#0000FF,#0000FF,XL,rg,ng,kids,mens
899,PG167,Sugar Skull 2.0 Kids RG,PG167-S,#0000FF,#0000FF,S,rg,ng,kids,mens
900,PG167,Sugar Skull 2.0 Kids RG,PG167-M,#0000FF,#0000FF,M,rg,ng,kids,mens
901,PG167,Sugar Skull 2.0 Kids RG,PG167-L,#0000FF,#0000FF,L,rg,ng,kids,mens
897,PG166,Academy Kids Teal,PG166-M4,#0000FF,#FFFFFF,M4,gi,gi,kids,mens
896,PG166,Academy Kids Teal,PG166-M3,#0000FF,#FFFFFF,M3,gi,gi,kids,mens
895,PG166,Academy Kids Teal,PG166-M2,#0000FF,#FFFFFF,M2,gi,gi,kids,mens
894,PG166,Academy Kids Teal,PG166-M1,#0000FF,#FFFFFF,M1,gi,gi,kids,mens
893,PG166,Academy Kids Teal,PG166-M000,#0000FF,#FFFFFF,M000,gi,gi,kids,mens
892,PG166,Academy Kids Teal,PG166-M00,#0000FF,#FFFFFF,M00,gi,gi,kids,mens
891,PG166,Academy Kids Teal,PG166-M0,#0000FF,#FFFFFF,M0,gi,gi,kids,mens
888,PG165,Zipper Jacket,PG165-S,#000000,#000000,S,jk,ap,adult,mens
889,PG165,Zipper Jacket,PG165-M,#000000,#000000,M,jk,ap,adult,mens
890,PG165,Zipper Jacket,PG165-L,#000000,#000000,L,jk,ap,adult,mens
885,PG164,Panther Hoodie,PG164-S,#000000,#000000,S,ho,ap,adult,mens
886,PG164,Panther Hoodie,PG164-M,#000000,#000000,M,ho,ap,adult,mens
887,PG164,Panther Hoodie,PG164-L,#000000,#000000,L,ho,ap,adult,mens
884,PG163,Panther Gi,PG163-F3,#FFFFFF,#FFFFFF,F3,gi,gi,adult,womens
883,PG163,Panther Gi,PG163-F2,#FFFFFF,#FFFFFF,F2,gi,gi,adult,womens
882,PG163,Panther Gi,PG163-F1,#FFFFFF,#FFFFFF,F1,gi,gi,adult,womens
881,PG163,Panther Gi,PG163-A3,#FFFFFF,#FFFFFF,A3,gi,gi,adult,mens
880,PG163,Panther Gi,PG163-A2L,#FFFFFF,#FFFFFF,A2L,gi,gi,adult,mens
